0,206,236,295,367,332,286,322,232,172,350,460,769,901,1035,1069,1186,1264,1303,1264,1309,1316,1357,1388,1353,1376,1397,127,1333,1484,1353,840
206,0,132,212,305,280,219,304,227,173,346,469,759,886,1034,1057,1176,1257,1301,1265,1329,1335,1364,1405,1375,1402,1425,200,1352,1518,1384,824
236,132,0,105,212,205,187,270,227,174,322,449,704,823,983,994,1113,1199,1247,1216,1300,1304,1321,1373,1349,1381,1406,285,1323,1505,1368,762
295,212,105,0,108,109,130,194,187,152,248,371,605,721,884,892,1011,1097,1147,1117,1208,1212,1223,1279,1279,1292,1317,300,1231,1419,1282,660
367,305,212,108,0,46,132,142,186,184,189,294,500,614,779,785,904,991,1041,1011,1109,1111,1119,1178,1159,1195,1121,337,1131,1325,1187,553
332,280,205,109,46,0,88,100,140,143,151,266,499,618,778,790,909,994,1042,1010,1099,1103,1116,1170,1149,1182,1208,293,1122,1310,1172,557
286,219,187,130,132,88,0,87,59,57,136,774,540,667,816,838,956,1308,1083,1048,1120,1125,1149,1195,1168,1198,1222,205,1144,1320,1184,605
322,304,270,194,142,100,87,0,91,133,55,180,455,584,730,755,873,954,997,962,1034,1039,1062,1108,1082,1112,1137,246,1057,1235,1099,522
232,227,227,187,186,140,59,91,0,57,121,242,539,670,810,840,957,1032,1078,1041,1102,1108,1138,1178,1148,1176,1199,159,1125,1294,1159,608
172,173,174,152,184,143,57,133,57,0,173,297,588,445,861,551,1006,1086,1130,1093,1158,1161,1192,1233,1204,1233,1255,155,1181,1351,1252,655
351,346,322,248,189,94,136,55,121,173,0,127,419,551,690,720,837,916,957,921,986,991,1019,1061,1033,1062,1087,258,1010,1184,1048,489
460,469,449,371,294,266,774,180,242,297,127,0,317,453,576,616,731,806,844,804,861,866,899,937,907,936,960,350,884,1057,921,394
769,759,740,605,500,499,540,455,539,588,419,317,0,136,279,301,418,499,544,512,618,619,618,682,617,712,741,666,640,852,715,80
901,886,823,721,614,618,667,584,670,445,551,453,136,0,184,282,291,377,429,404,547,544,518,600,603,650,681,801,567,797,664,62
1035,1034,983,884,779,778,816,730,810,861,690,576,279,184,0,107,174,231,268,233,365,361,340,417,420,575,501,925,382,618,487,234
1069,1057,994,892,785,790,838,755,840,551,720,616,301,282,107,0,119,207,264,248,430,422,367,467,485,539,571,966,446,689,565,233
1186,1176,1113,1011,904,909,956,873,957,1006,837,731,418,291,174,119,0,94,157,159,373,361,275,391,425,482,513,1082,384,629,518,352
1264,1257,1199,1097,991,994,1308,954,1032,1086,916,806,499,377,231,207,94,0,66,89,311,291,190,314,359,416,446,1155,318,559,460,437
1303,1301,1247,1147,1041,1042,1083,997,1078,1130,957,844,544,429,268,264,157,66,0,54,258,242,125,251,302,359,388,1192,262,498,406,488
1264,1265,1216,1117,1011,1010,1048,962,1041,1093,921,804,512,404,233,248,159,89,54,0,223,208,119,231,271,328,359,1151,230,473,371,460
1309,1329,1300,1208,1109,1099,1120,1034,1102,1158,986,861,618,547,365,430,373,311,258,223,0,19,158,84,56,110,141,1188,23,259,148,591
1316,1335,1304,1212,1111,1103,1125,1039,1108,1161,991,866,619,544,361,422,361,291,242,208,19,0,140,72,64,121,152,1196,23,269,164,590
1357,1364,1321,1223,1119,1116,1149,1062,1138,1192,1019,899,618,518,340,367,275,190,125,119,158,140,0,129,189,244,271,1241,154,377,297,573
1388,1405,1373,1279,1178,1170,1195,1108,1178,1233,1061,937,682,600,417,467,391,314,251,231,84,72,129,0,75,121,145,1267,62,248,179,649
1353,1375,1349,1279,1159,1149,1168,1082,1148,1204,1033,907,617,603,420,485,425,359,302,271,56,64,189,75,0,58,88,1230,41,205,108,646
1376,1402,1381,1292,1195,1182,1198,1112,1176,1233,1062,936,712,650,575,539,482,416,359,328,110,121,244,121,58,0,32,1251,99,150,61,692
1397,1425,1406,1317,1121,1208,1222,1137,1199,1255,1087,960,741,681,501,571,513,446,388,359,141,152,1241,145,88,32,0,1272,129,118,55,721
127,200,285,300,337,293,205,246,159,155,258,350,666,801,925,966,1082,1155,1192,1151,1188,1196,154,1267,1230,1251,1272,0,1211,1358,1228,740
1333,1352,1323,1231,1131,1122,1144,1057,1125,1181,1010,884,640,567,382,446,384,318,262,230,23,23,154,62,41,99,129,1211,0,246,145,612
1484,1518,1505,1419,1325,1310,1320,1235,1294,1351,1184,1057,852,797,618,689,629,559,498,473,259,269,377,248,205,150,118,1358,246,0,138,836
1353,1384,1368,1282,1187,1172,1184,1099,1159,1252,1048,921,715,664,487,565,518,460,406,371,148,164,297,179,108,61,55,1228,145,138,0,700
840,824,762,660,553,553,605,522,608,655,489,394,80,62,234,233,352,437,488,460,591,590,573,649,646,692,721,740,612,836,700,0
